City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
343,Dalvik,IS,65.9702,-18.5286,49.93,94,100,2.01,Clouds
344,Bahia Honda,CU,22.9036,-83.1592,88.03,56,12,4.99,Clouds
345,Rio Grande,BR,-32.035,-52.0986,75.31,69,1,10.98,Clear
346,Ucluelet,CA,48.9329,-125.5528,47.08,89,80,1.01,Clouds
347,Viedma,AR,-40.8135,-62.9967,76.12,34,2,23.11,Clear
348,Qasigiannguit,GL,68.8193,-51.1922,30.45,77,7,3.31,Clear
349,Krasnoarmeysk,RU,51.0239,45.6969,50.05,50,18,6.15,Clouds
350,Port Keats,AU,-14.25,129.55,73.54,39,11,10.04,Clouds
351,Nuuk,GL,64.1835,-51.7216,34.41,80,20,10.36,Clouds
352,Ulladulla,AU,-35.35,150.4667,54.5,81,84,7.09,Clouds
353,Shingu,JP,33.7333,135.9833,58.01,66,74,5.01,Clouds
354,Iqaluit,CA,63.7506,-68.5145,28.13,63,20,4.61,Clouds
355,Clyde River,CA,70.4692,-68.5914,25.03,86,100,12.66,Clouds
356,Juwana,ID,-6.715,111.1514,77.56,92,100,6.24,Clouds
